ID,R0,R1,E1_0,E1_1,W1_0,W1_1,label
88,437.5603353,4592.789417,3.97E-05,0.889658026,10057.60548,22.78971056,1
89,419.5634468,4531.164203,3.65E-05,0.873617839,9340.151574,27.63049692,1
90,422.2939879,4386.544161,3.66E-05,0.879081858,8412.932355,23.55635777,1
91,363.0420998,3799.017977,5.49E-05,0.861022201,7705.194119,27.65914852,1
92,362.0292139,3506.504277,4.93E-05,0.924852221,5574.283301,9.031560858,1
93,351.2117427,5596.185703,4.99E-05,0.787475509,219.374942,0.524123074,1
94,491.3924062,4469.982624,4.58E-05,0.90991038,9452.687401,15.02214728,1
95,494.9757971,4369.113697,4.56E-05,0.889317702,10484.00334,25.01962981,1
96,533.7427901,3962.639282,4.75E-05,0.88991998,8442.402894,18.67596093,1
97,536.0253018,3838.182854,4.68E-05,0.879373726,9125.112273,26.66615066,1
98,387.9283029,4536.921469,4.98E-05,0.892274655,7646.161081,17.49406707,1
99,388.2582764,4530.87627,5.08E-05,0.874426328,8973.188241,27.10290886,1
100,467.9971848,4490.556463,5.34E-05,0.894144593,7406.881615,19.65282772,1
101,468.8744293,4493.931598,5.45E-05,0.892757168,8413.352835,26.86665283,1
102,473.4942707,4492.900504,4.71E-05,0.895781956,10574.63721,25.8397645,1
103,477.198404,4244.592401,4.59E-05,0.891279936,13774.3078,53.69390372,1
104,460.6499155,4342.986215,4.22E-05,0.889092277,10116.06513,21.75828757,1
105,444.6369259,4493.340105,4.73E-05,0.878688409,10445.37325,27.63851262,1
106,385.0744256,3673.908587,4.90E-05,0.854025977,7691.716706,28.03137292,1
107,424.3292329,4412.256424,5.15E-05,0.882022854,7091.141375,17.62158238,1
108,423.8625062,4428.553204,5.14E-05,0.862499699,7014.337516,22.56224158,1
